brand,product_name,shades,price,size,rating,reviews_count,product_url,image_path
Yves Saint Laurent,Make Me Blush 24H Buildable Powder Blush,"6 Rose Haze - soft nude pink, 37 Peachy Nude - warm teracotta matte, 54 Berry Bang - pink raspberry matte OUT OF STOCK, 87 Pink Voltage - cool vibrant pink matte, 23 Hot Mauve - warm rosey taupe matte NEW, 42 Babydoll Pink - cool baby pink satin, 44 Nude Lavalliere - iconic dusty pink satin, 93 Restless Rose - peachy pink satin, 83 Spicy Berry - deep plum satin, 15 Chili Crush - sun-kissed red matte NEW, , , , , , , , , , ",$46.00,Size 0.17 oz/5 g,4.8,2.188 Reviews*,./imagenes/10.jpg
Benefit Cosmetics,Benetint Liquid Lip + Cheek Blush Stain,"Benetint - rose tinted lip & cheek stain, Raspberry - raspberry-tinted lip & cheek stain, Dark Cherry - dark-cherry tinted lip & cheek stain, Playtint - pink lemonade-tinted lip & cheek stain, ChaChatint - mango-tinted lip & cheek stain, Gogotint - bright cherry tinted lip & cheek stain, Lovetint - fiery-red, Floratint - desert-rose, Benetint - rose tinted lip & cheek stain, , , , , , , , , ",$28.00,Size 0.2 oz/6 mL,4.2,6.269 Reviews*,./imagenes/11.jpg
MAKEUP BY MARIO,Mini Soft Pop Blush Stick,"(Mini) Pale Petal - soft pink, (Mini) Dusty Rose - neutral rosy mauve, (Mini) Watermelon - magenta pink, , , ",$16.00,Size 0.14 oz/4 g,4.8,218 Reviews*,./imagenes/12.jpg
MERIT,Flush Balm Cream Blush,"Cheeky - cool pink, Beverly Hills - soft peach, Persimmon - soft orange red, Stockholm - baby pink, Fox - warm taupe, Apres - soft berry, Rouge - red, Le BonBon - bright pink, Lusitano - soft peach, Archival - cool mauve, Postmodern - deep pink brown, Bespoke - medium pink brown, , , , , , , , , , , , ",$30.00,Size 0.31 oz / 9 g,4.3,1.974 Reviews*,./imagenes/13.jpg
HUDA BEAUTY,Blush Filter Soft Glow Liquid Blush,"Bubblegum - soft poppy pink, Sunset Lychee - rosy coral, Intense Guava - electric pink, Ube Cream - electric lilac LIMITED EDITION, Cotton Candy - baby pink, Peach Sorbet - peachy tangerine, Strawberry Cream - dusty rose, Watermelon Pop - warm brick, Black Cherry - burnt berry, Latte - light to medium, Coco-Loco - medium to rich, Cotton Candy and Peach Sorbet - baby pink / peachy tangerine LIMITED EDITION, Strawberry Cream and Black Cherry - dusty rose / burnt berry LIMITED EDITION, , , , , , , , , , , , , ",$23.00,Size 0.15 oz / 4.5 mL,4.8,4.041 Reviews*,./imagenes/14.jpg
HAUS LABS BY LADY GAGA,Color Fuse Talc-Free Blush Powder With Fermented Arnica,"Hibiscus Haze - mauve pink, Dragon Fruit Daze - cool pink, Watermelon Bliss - universal red, Pomelo Peach - soft coral, French Rosette - neutral rose, Fire Moon - beige peach, , , , , , ",$32.00,Size 0.18 oz / 5 g,4.6,1.047 Reviews*,./imagenes/15.jpg
Saie,SuperSuede™ Talc-Free Powder Blush,"Ciao - soft golden brown, Stella - bright coral, Mia - soft rose, Grazie - bright berry, Amore - bright fuschia, Bella - soft cool baby pink, , , , , , ",$28.00,Size .01 oz / 3 g,4.7,333 Reviews*,./imagenes/16.jpg
,,", , , , , , , , , , , , , , , , , ",,,,,./imagenes/17.jpg
ILIA,Soft Focus Blurring Blush - Talc-Free Powder Blush,"Glimpse - mauve rose NEW, Flutter - warm peach NEW, Breathless - neutral pink NEW, Pulse - bright coral NEW, Wonder - deep terracotta NEW, Closer - baby pink NEW, Magnetic - rich berry NEW, Sensation - berry rose NEW, , , , , , , , ",$36.00,Size 0.15oz/4.5g,4.9,682 Reviews*,./imagenes/18.jpg
Rare Beauty by Selena Gomez,Soft Pinch Matte Bouncy Blush,"Hope - nude mauve, Happy - cool pink, Worth - true rose, Grateful - soft red, Truth - soft plum, Thriving - bright raspberry, Alive - bright coral orange, , , , , , , ",$27.00,Size 0.22 oz / 6.4 g,4.9,1.597 Reviews*,./imagenes/19.jpg
Summer Fridays,Blush Butter Balm Hydrating Cream Blush with Peptides,"Pink Sunset - warm peachy pink NEW, Soft Strawberry - neutral pink NEW, Sweet Rosé - cool baby pink NEW, Dusty Rose - cool dusty rose NEW, Toasted Terracotta - warm rose NEW, Berry Spritz - neutral berry NEW, , , , , , ",$26.00,Size 0.14oz/3.5g,4.8,703 Reviews*,./imagenes/20.jpg
Kosas,Blush is Life Baked Talc-Free Dimensional + Brightening Blush,"Wavelength - warm peach, Heartbeat - vibrant red, Chills - cool vibrant berry, Blissed - warm peachy pink, Hype - warm poppy pink, Butterflies - cool baby pink, Adrenaline - hot fuschia, Thrill - vibrant blood orange OUT OF STOCK, Dreamland - rosy bronze, Swoon - pinky brown mauve, Euphoria - cool pinky mauve, , , , , , , , , , , ",$29.00,Size 0.16 oz/4.5 g,4.6,645 Reviews*,./imagenes/21.jpg
Tower 28 Beauty,BeachPlease Lip + Cheek Dewy Cream Blush,"Finest Hour - sun-kissed red, Golden Hour - sun-kissed orange, After Hours - sun-kissed berry, Happy Hour - sun-kissed coral pink, Power Hour - sun-kissed terracota, Rush Hour - sun-kissed peach, Office Hours - sun-kissed mauve, Magic Hour - sun-kissed rosy nude, Party Hour - sun-kissed lavendar pink, Dream Hour - sun-kissed bright pink, , , , , , , , , , ",$20.00,Size 0.16 oz / 4.5 mL,4.5,1.778 Reviews*,./imagenes/22.jpg
HAUS LABS BY LADY GAGA,Color Fuse Longwear Hydrating Glassy Lip + Cheek Blush Balm Stick,"Glassy Ginger - dusty pink, Glassy Cayenne - deep rose, Glassy Cinnamon - beige peach, Glassy Clove - brownish red, Glassy Hibiscus - deep mauve, Glassy Rosette - rose, Glassy Pomelo - peach pink, Glassy Pitaya - cool pink, Glassy Lilac - lavender, Glassy Watermelon - ruby, Glassy Tangelo - orange, Glassy Acai - black cherry, , , , , , , , , , , , ",$34.00,Size 0.18 oz/5 g,4.4,574 Reviews*,./imagenes/23.jpg
NARS,Mini Talc-Free Powder Blush,"Orgasm – 777 - mini peachy pink with golden shimmer, Orgasm Edge – 778 - mini matte peachy pink (no shimmer), , ",$18.00,Size 0.09 oz,3.4,133 Reviews*,./imagenes/24.jpg
Benefit Cosmetics,Silky-Soft Powder Blush,"Shellie - warm seashell pink, Crystah - strawberry pink, Sunny - warm coral, Blossy - warm apricot LIMITED EDITION, Butterfly - golden orange, Willa - soft neutral rose, Java - rosy mocha, PomPom - pomegranate rose, Moone - rich berry, Terra - golden brick red, Shellie - warm seashell pink, Crystah - strawberry pink, Willa - soft neutral rose, , , , , , , , , , , , , ",$34.00,Size 0.21 oz/6 g,,,./imagenes/25.jpg
